json_key,Description,Version
lender_type_of_organization,"Type of legal entity (e.g., LLC, Corporation).",3.1.0
Loan Terms,,3.1.0
first_payment_date,Date which the first payment comes due and payable.,3.1.0
loan_amount,Total principal amount of the loan.,3.1.0
loan_to_value_percent,Loan-to-value ratio as a percentage.,3.1.0
maturity_date_of_loan,Date when the loan is due to be fully repaid.,3.1.0
maturity_date,Date when the loan is due to be fully repaid.,3.1.0
maximum_default_rate_percentage,Maximum interest rate applicable upon default.,3.1.0
month_of_closing,"Month in which the loan closes (e.g., ""September"").",3.1.0
monthly_payment_date_begin,Date when monthly payments begin.,3.1.0
draw_request_fee,A fee charged each time the borrower requests a draw or disbursement of loan funds.,3.1.1
exit_fee_percentage,"A percentage-based fee charged when the loan is paid off or exits (maturity, refinance, or sale).",3.1.1
extension_fee,Fee charged by the lender if the borrower needs more time beyond the original loan term,3.1.2
origination_fee,Fee charged for processing the loan.,3.1.0
other_fee,Any additional fees not categorized elsewhere.,3.1.0
purchase_refinance,"Refers to where the loan is a  ""Purchase"" or ""Refinance""",3.1.1
processing_fee,Fee for administrative processing of the loan.,3.1.0
short_term_interest_amount,Interest amount applicable for short-term loans.,3.1.0
Property Details,,3.1.0
property_street_address,Street address of the property.,3.1.0
property_town,Town or city where the property is located.,3.1.0
purpose_of_loan,"Purpose of the loan (e.g., Fix and Flip, Buy and Hold).",3.1.0
Third Parties,,3.1.0
servicer_name,The address of the entity responsible for the administration of the loan,3.1.2
servicer_address,The address of the entity responsible for the administration of the loan,3.1.2
settlement_agent_name,Name of the settlement agent handling the closing.,3.1.0
settlement_agent_name_and_address,Full name and address of the settlement agent.,3.1.0
trustee,"Name of the trustee, if applicable.",3.1.0
underwriter,Name of the underwriter reviewing the loan.,3.1.0
underwriting_fee,Fee charged for underwriting services.,3.1.0
The items below are template names that can be included in the loan packages.,,
Dynamic Fees,,
Legal Fee,Legal counsel fee charged to borrower.,3.1.2
Prepaid Interest,borrower pays in advance at closing for the period between the loan funding date and the date the first regular loan payment begins.,3.1.2
Origination Fee,Fee charged for processing the loan.,3.1.2
Interest Reserve,"Amount of interest prepaid on the loan, if any",3.1.2
Standard Fee,Any additional fees not categorized elsewhere.,3.1.2
Initial Draw Fee,Fee charged by the lender for processing the first disbursement of loan.,3.1.2
Draw Set-Up Fee,"Fee charged by the lender, servicer, or draw administrator to establish and manage the loan’s draw/disbursement process at the beginning of the loan.",3.1.2
Subsequent Draw Fees,Fees charged for processing additional draw requests after the initial draw on a loan.,3.1.2
Appraisal Holdback,Amount of loan that the lender withholds until certain appraisal-related conditions are satisfied.,3.1.2
Exit Fee,"A fee charged when the loan is paid off or exits (maturity, refinance, or sale).",3.1.2
