Field ID,Label,Kind,Declared type,Declared format,Data types actually seen,JSON path,Contract path,Repeats?,Read-only?,Filled on long-term (count),Filled on long-term (%),Filled on short-term (count),Filled on short-term (%),Distinct values,Min,25th percentile,Median,75th percentile,Max,First filled at milestone,In legacy catalog?,Sample values withheld because
18,Subject Property Yr Built,standard,String,STRING,str x303,$.property.structureBuiltYear,loan.property.structureBuiltYear,no,no,240,49,53,21.1,100,,,,,,Started,no,identifying-or-high-cardinality
19,Trans Details Loan Purpose,standard,String,STRING,str x736,$.property.loanPurposeType,loan.property.loanPurposeType,no,no,460,93.9,251,100,3,,,,,,Started,yes,
24,Loan Info Refi Yr Acquired,standard,String,STRING,str x210,$.property.refinancePropertyAcquiredYear,loan.property.refinancePropertyAcquiredYear,no,no,206,42,2,0.8,26,,,,,,Started,yes,identifying-or-high-cardinality
25,Loan Info Refi Original Cost,standard,Decimal,DECIMAL_2,int x208 | float x1,$.property.refinancePropertyOriginalCostAmount,loan.property.refinancePropertyOriginalCostAmount,no,no,203,41.4,2,0.8,141,27000,125000,175000,306250,550000,Started,yes,identifying-or-high-cardinality
26,Loan Info Refi Existing Lien,standard,Decimal,DECIMAL_2,float x133 | int x52,$.property.refinancePropertyExistingLienAmount,loan.property.refinancePropertyExistingLienAmount,no,no,185,37.8,0,0,174,58800,172025.41,318304.1,478099.2375,845682.35,Started,no,identifying-or-high-cardinality
29,Loan Info Refi Improvement Cost,standard,Decimal,DECIMAL_2,int x2,$.property.refinanceImprovementCostsAmount,loan.property.refinanceImprovementCostsAmount,no,no,2,0.4,0,0,2,,,,,,,no,
30,Loan Info Refi Improve made/to be made,standard,String,STRING,str x3,$.property.refinanceImprovementsType,loan.property.refinanceImprovementsType,no,no,3,0.6,0,0,1,,,,,,,no,
31,Subject Property Title Name 1,standard,String,STRING,str x683,$.titleHolderName1,loan.titleHolderName1,no,no,454,92.7,201,80.1,355,,,,,,Started,no,identifying-or-high-cardinality
33,Subject Property Manner Held,standard,String,STRING,str x19,$.property.gseTitleMannerHeldDescription,loan.property.gseTitleMannerHeldDescription,no,no,14,2.9,4,1.6,15,,,,,,Started,no,
36,Borr First Name,standard,String,STRING,str x705,$.applications[0].borrower.firstNameWithMiddleName,loan.currentApplication.borrower.firstNameWithMiddleName,no,no,463,94.5,214,85.3,255,,,,,,Started,no,identifying-or-high-cardinality
37,Borr Last Name,standard,String,STRING,str x705,$.applications[0].borrower.lastNameWithSuffix,loan.currentApplication.borrower.lastNameWithSuffix,no,no,464,94.7,213,84.9,267,,,,,,Started,no,identifying-or-high-cardinality
38,Borr Age,standard,Int,INTEGER,int x667,$.applications[0].borrower.ageAtApplicationYearsCount,loan.currentApplication.borrower.ageAtApplicationYearsCount,no,no,442,90.2,198,78.9,47,19,25,28,34,49,Started,no,identifying-or-high-cardinality
40,Fees Line 1305 Descr,standard,String,STRING,str x43,$.fees[?(@.feeType == 'UserDefined_1305')].description,loan.fees[(feeType == 'UserDefined_1305')].description,no,no,43,8.8,0,0,40,,,,,,Investor Delivery,no,identifying-or-high-cardinality
41,Fees Line 1305 Borr,standard,Decimal,DECIMAL_2,float x18 | int x15,$.fees[?(@.feeType == 'UserDefined_1305')].borPaidAmount,loan.fees[(feeType == 'UserDefined_1305')].borPaidAmount,no,no,33,6.7,0,0,32,50,253.89,507.96,1211.5,8315.46,Purchasing Conditions,no,identifying-or-high-cardinality
42,Fees Line 1305 Seller,standard,Decimal,DECIMAL_2,int x6 | float x4,$.fees[?(@.feeType == 'UserDefined_1305')].sellerPaidAmount,loan.fees[(feeType == 'UserDefined_1305')].sellerPaidAmount,no,no,10,2,0,0,10,80,131.8825,880.33,1959.1075,10100,Investor Delivery,no,
43,Fees Line 1306 Descr,standard,String,STRING,str x29,$.fees[?(@.feeType == 'UserDefined_1306')].description,loan.fees[(feeType == 'UserDefined_1306')].description,no,no,29,5.9,0,0,29,,,,,,Investor Delivery,no,identifying-or-high-cardinality
44,Fees Line 1306 Borr,standard,Decimal,DECIMAL_2,int x10 | float x8,$.fees[?(@.feeType == 'UserDefined_1306')].borPaidAmount,loan.fees[(feeType == 'UserDefined_1306')].borPaidAmount,no,no,18,3.7,0,0,18,18,289.95,509.995,1644.4875,4511.55,Purchasing Conditions,no,
52,Borr Marital Status,standard,String,STRING,str x629,$.applications[0].borrower.maritalStatusType,loan.currentApplication.borrower.maritalStatusType,no,no,430,87.8,176,70.1,3,,,,,,Started,yes,
53,Borr Dependent #,standard,String,STRING,int x483,$.applications[0].borrower.dependentCount,loan.currentApplication.borrower.dependentCount,no,no,273,55.7,22,8.8,10,,,,,,Started,yes,
54,Borr Dependents Ages,standard,String,STRING,str x350,$.applications[0].borrower.dependentsAgesDescription,loan.currentApplication.borrower.dependentsAgesDescription,no,no,281,57.3,21,8.4,141,,,,,,Started,yes,identifying-or-high-cardinality
55,Fees Line 1306 Seller,standard,Decimal,DECIMAL_2,int x7 | float x5,$.fees[?(@.feeType == 'UserDefined_1306')].sellerPaidAmount,loan.fees[(feeType == 'UserDefined_1306')].sellerPaidAmount,no,no,12,2.4,0,0,11,68.21,202.9975,900,3406.25,20000,Investor Delivery,no,
60,Co-Borr Experian FICO,standard,String,STRING,str x25,$.applications[0].coborrower.experianCreditScore,loan.currentApplication.coborrower.experianCreditScore,no,no,14,2.9,11,4.4,21,,,,,,Purchasing Conditions,no,
61,FHA MCAW Prepaid Expenses,standard,Decimal,DECIMAL_2,float x421 | int x72,$.fhaVaLoan.prepaidExpenses,loan.fhaVaLoan.prepaidExpenses,no,no,412,84.1,72,28.7,478,440,1200,1636.705,2331.565,5125,Started,no,identifying-or-high-cardinality
65,Borr SSN,standard,String,SSN,str x665,$.applications[0].borrower.taxIdentificationIdentifier,loan.currentApplication.borrower.taxIdentificationIdentifier,no,no,442,90.2,197,78.5,282,,,,,,Started,yes,identifying-or-high-cardinality
66,Borr Home Phone,standard,String,PHONE,str x588,$.applications[0].borrower.homePhoneNumber,loan.currentApplication.borrower.homePhoneNumber,no,no,385,78.6,190,75.7,265,,,,,,Started,yes,identifying-or-high-cardinality
67,Borr Experian FICO,standard,String,STRING,str x408,$.applications[0].borrower.experianCreditScore,loan.currentApplication.borrower.experianCreditScore,no,no,270,55.1,132,52.6,115,,,,,,Started,yes,identifying-or-high-cardinality
68,Co-Borr First Name,standard,String,STRING,str x61,$.applications[0].coborrower.firstNameWithMiddleName,loan.currentApplication.coborrower.firstNameWithMiddleName,no,no,23,4.7,37,14.7,44,,,,,,Purchasing Conditions,no,identifying-or-high-cardinality
69,Co-Borr Last Name,standard,String,STRING,str x61,$.applications[0].coborrower.lastNameWithSuffix,loan.currentApplication.coborrower.lastNameWithSuffix,no,no,23,4.7,37,14.7,40,,,,,,Purchasing Conditions,no,identifying-or-high-cardinality
70,Co-Borr Age,standard,Int,INTEGER,int x67,$.applications[0].coborrower.ageAtApplicationYearsCount,loan.currentApplication.coborrower.ageAtApplicationYearsCount,no,no,25,5.1,41,16.3,25,18,25,26,35,64,Purchasing Conditions,no,
78,Trans Details Loan Maturity Date,standard,DateTime,DATE,date x690,$.maturityDate,loan.maturityDate,no,no,449,91.6,223,88.8,156,,,,,,Started,yes,identifying-or-high-cardinality
84,Co-Borr Marital Status,standard,String,STRING,str x55,$.applications[0].coborrower.maritalStatusType,loan.currentApplication.coborrower.maritalStatusType,no,no,22,4.5,33,13.1,2,,,,,,Purchasing Conditions,no,
85,Co-Borr # Dependents,standard,String,STRING,int x8,$.applications[0].coborrower.dependentCount,loan.currentApplication.coborrower.dependentCount,no,no,3,0.6,2,0.8,4,,,,,,,no,
86,Co-Borr Dependents Ages,standard,String,STRING,str x4,$.applications[0].coborrower.dependentsAgesDescription,loan.currentApplication.coborrower.dependentsAgesDescription,no,no,3,0.6,1,0.4,4,,,,,,,no,
87,File Contacts Escrow Co Email,standard,String,STRING,str x213,$.contacts[?(@.contactType == 'ESCROW_COMPANY')].email,loan.contacts[(contactType == 'ESCROW_COMPANY')].email,no,no,156,31.8,56,22.3,91,,,,,,Docs Out,no,identifying-or-high-cardinality
88,File Contacts Title Co Email,standard,String,STRING,str x290,$.contacts[?(@.contactType == 'TITLE_COMPANY')].email,loan.contacts[(contactType == 'TITLE_COMPANY')].email,no,no,223,45.5,64,25.5,115,,,,,,Loan Setup,no,identifying-or-high-cardinality
89,File Contacts Appraisal Co Email,standard,String,STRING,str x139,$.contacts[?(@.contactType == 'APPRAISAL_COMPANY')].email,loan.contacts[(contactType == 'APPRAISAL_COMPANY')].email,no,no,92,18.8,47,18.7,38,,,,,,Started,no,identifying-or-high-cardinality
93,File Contacts Mtg Ins Co Email,standard,String,STRING,str x1,$.contacts[?(@.contactType == 'MORTGAGE_INSURANCE')].email,loan.contacts[(contactType == 'MORTGAGE_INSURANCE')].email,no,no,0,0,1,0.4,1,,,,,,,no,identifying-or-high-cardinality
95,File Contacts Lender Email,standard,String,STRING,str x534,$.contacts[?(@.contactType == 'LENDER_INVESTOR')].email,loan.contacts[(contactType == 'LENDER_INVESTOR')].email,no,no,314,64.1,214,85.3,23,,,,,,Started,no,identifying-or-high-cardinality
97,Co-Borr SSN,standard,String,SSN,str x61,$.applications[0].coborrower.taxIdentificationIdentifier,loan.currentApplication.coborrower.taxIdentificationIdentifier,no,no,23,4.7,37,14.7,43,,,,,,Purchasing Conditions,no,identifying-or-high-cardinality
98,Co-Borr Home Phone,standard,String,PHONE,str x41,$.applications[0].coborrower.homePhoneNumber,loan.currentApplication.coborrower.homePhoneNumber,no,no,19,3.9,21,8.4,33,,,,,,Purchasing Conditions,no,identifying-or-high-cardinality
101,Income Borr Base Income,standard,Decimal,DECIMAL_2,int x6 | float x5,$.applications[0].income[?(@.owner == 'Borrower' && @.incomeType == 'Base')].amount,loan.currentApplication.income[(owner == 'Borrower' && incomeType == 'Base')].amount,no,no,6,1.2,0,0,9,7823.04,8333,10081.5,35524.1,100000,,no,
106,Income Borr Net Rental Income,standard,Decimal,DECIMAL_2,float x316 | int x12,$.applications[0].income[?(@.owner == 'Borrower' && @.incomeType == 'NetRentalIncome')].amount,loan.currentApplication.income[(owner == 'Borrower' && incomeType == 'NetRentalIncome')].amount,no,no,311,63.5,7,2.8,322,111.33,397.48,802.37,2545.94,9269,Started,no,identifying-or-high-cardinality
108,Income Borr Other Income 2,standard,Decimal,DECIMAL_2,float x1 | int x1,$.applications[0].borrower.otherSumAmount,loan.currentApplication.borrower.otherSumAmount,no,yes,2,0.4,0,0,2,,,,,,,no,
109,Insurance Borr MI Termination Date,standard,DateTime,DATE,date x672,$.regulationZ.borrowerMiTerminationDate,loan.regulationZ.borrowerMiTerminationDate,no,yes,442,90.2,212,84.5,164,,,,,,Started,no,identifying-or-high-cardinality
118,Insurance Calculation Borr MI Termination Date,standard,DateTime,DATE,date x672,$.regulationZ.miScheduledTerminationDate,loan.regulationZ.miScheduledTerminationDate,no,yes,442,90.2,212,84.5,198,,,,,,Started,no,identifying-or-high-cardinality
119,Expenses Present Rent,standard,Decimal,DECIMAL_2,int x3,$.applications[0].rentAmount,loan.currentApplication.rentAmount,no,no,2,0.4,0,0,2,,,,,,,no,
120,Expenses Present Mtg Pymt,standard,Decimal,DECIMAL_2,float x1 | int x1,$.applications[0].firstMortgagePrincipalAndInterestAmount,loan.currentApplication.firstMortgagePrincipalAndInterestAmount,no,no,1,0.2,1,0.4,2,,,,,,,no,
122,Expenses Present Haz Ins,standard,String,RA_DECIMAL_2,str x1,$.applications[0].hazardInsuranceAmount,loan.currentApplication.hazardInsuranceAmount,no,no,0,0,1,0.4,1,,,,,,,no,
123,Expenses Present Taxes,standard,String,RA_DECIMAL_2,str x1,$.applications[0].realEstateTaxAmount,loan.currentApplication.realEstateTaxAmount,no,no,0,0,1,0.4,1,,,,,,,no,
136,Trans Details Purchase Price,standard,Decimal,DECIMAL_2,int x329 | float x1,$.purchasePriceAmount,loan.purchasePriceAmount,no,no,111,22.7,208,82.9,202,95000,260000,350000,465000,1250000,Started,yes,identifying-or-high-cardinality
137,Trans Details Est Closing Costs,standard,Decimal,DECIMAL_2,float x521 | int x211,$.estimatedClosingCostsAmount,loan.estimatedClosingCostsAmount,no,no,489,99.8,231,92,637,2245,2256.97,2356.97,6445,18256.97,Started,no,identifying-or-high-cardinality
138,Trans Details Est Prepaids,standard,Decimal,DECIMAL_2,float x421 | int x73,$.estimatedPrepaidItemsAmount,loan.estimatedPrepaidItemsAmount,no,no,412,84.1,72,28.7,478,440,1146,1549.03,2263.13,5125,Started,no,identifying-or-high-cardinality
141,Trans Details Credit 1 Amt,standard,Decimal,DECIMAL_2,int x121 | float x4,$.purchaseCredits[?(@.purchaseCreditIndex == 1)].amount,loan.purchaseCredits[(purchaseCreditIndex == 1)].amount,no,no,89,18.2,23,9.2,18,250,750,850,850,65000,Cond. Approval,no,
142,Trans Details Cash From Borr,standard,Decimal,DECIMAL_2,float x620 | int x142,$.cashFromToBorrowerAmount,loan.cashFromToBorrowerAmount,no,no,489,99.8,250,99.6,698,-585743.03,2245,2256.97,2356.97,540895,Started,no,identifying-or-high-cardinality
143,Fees Total Closing Costs Seller,standard,Decimal,DECIMAL_2,float x25 | int x8,$.sellerPaidClosingCostsAmount,loan.sellerPaidClosingCostsAmount,no,no,31,6.3,2,0.8,33,25,3457.75,7344.8,24484.13,37227.77,Investor Delivery,no,identifying-or-high-cardinality
154,Fees Line 801 User Def Fee 1 Descr,standard,String,STRING,str x719,$.fees[?(@.feeType == 'UserDefinedFee_820')].description,loan.fees[(feeType == 'UserDefinedFee_820')].description,no,no,484,98.8,229,91.2,4,,,,,,Started,no,
155,Fees Line 801 User Def Fee 1 Borr,standard,Decimal,DECIMAL_2,int x576 | float x1,$.fees[?(@.feeType == 'UserDefinedFee_820')].borPaidAmount,loan.fees[(feeType == 'UserDefinedFee_820')].borPaidAmount,no,no,475,96.9,90,35.9,6,200,500,550,600,137053.15,Started,no,
169,Borr Declarations G,standard,Boolean,YN,bool x752,$.applications[0].borrower.outstandingJudgementsIndicator,loan.currentApplication.borrower.outstandingJudgementsIndicator,no,no,0,0,0,0,0,,,,,,,yes,
181,Assets/Liabilities Completed Jointly/Not Jointly,standard,String,STRING,bool x6,$.applications[0].jointAssetLiabilityReportingIndicator,loan.currentApplication.jointAssetLiabilityReportingIndicator,no,no,4,0.8,1,0.4,1,,,,,,,no,
186,File Contacts Escrow Co Escrow #,standard,String,STRING,str x3,$.contacts[?(@.contactType == 'ESCROW_COMPANY')].referenceNumber,loan.contacts[(contactType == 'ESCROW_COMPANY')].referenceNumber,no,no,2,0.4,0,0,2,,,,,,,no,
187,File Contacts Title Co Title #,standard,String,STRING,str x1,$.contacts[?(@.contactType == 'TITLE_COMPANY')].referenceNumber,loan.contacts[(contactType == 'TITLE_COMPANY')].referenceNumber,no,no,1,0.2,0,0,1,,,,,,,no,
188,Borr - I do not wish to furnish this info,standard,Boolean,YN,bool x239,$.applications[0].borrower.hmdaRefusalIndicator,loan.currentApplication.borrower.hmdaRefusalIndicator,no,no,212,43.3,21,8.4,1,,,,,,Started,no,
189,Co-Borr - I do not wish to furnish this info,standard,Boolean,YN,bool x503,$.applications[0].coborrower.hmdaRefusalIndicator,loan.currentApplication.coborrower.hmdaRefusalIndicator,no,no,477,97.3,19,7.6,1,,,,,,Started,no,
190,Subject Property Use Type,standard,String,STRING,str x764,$.property.propertyUsageType,loan.property.propertyUsageType,no,yes,490,100,251,100,2,,,,,,Started,no,
199,Trans Details Amt Available,standard,Decimal,DECIMAL_2,float x27 | int x9,$.loanSubmission.amountAvailable,loan.loanSubmission.amountAvailable,no,no,33,6.7,0,0,30,4635.57,32580.99,50000,168417.87,521026.6,Purchasing Conditions,no,identifying-or-high-cardinality
202,Trans Details Credit 1 Descr,standard,String,STRING,str x5,$.purchaseCredits[?(@.purchaseCreditIndex == 1)].purchaseCreditType,loan.purchaseCredits[(purchaseCreditIndex == 1)].purchaseCreditType,no,no,5,1,0,0,1,,,,,,Completion,no,
228,Expenses Proposed Mtg Pymt,standard,Decimal,DECIMAL_2,float x640 | int x32,$.proposedFirstMortgageAmount,loan.proposedFirstMortgageAmount,no,no,449,91.6,199,79.3,619,559.42,1061.11,1379.55,2214.84,5525.4,Started,no,identifying-or-high-cardinality
229,Expenses Proposed Other Pymt,standard,Decimal,DECIMAL_2,float x2 | int x1,$.proposedOtherMortgagesAmount,loan.proposedOtherMortgagesAmount,no,no,1,0.2,0,0,3,853.94,853.94,1274.98,75750,75750,,no,
230,Expenses Proposed Haz Ins,standard,String,RA_DECIMAL_2,str x449,$.proposedHazardInsuranceAmount,loan.proposedHazardInsuranceAmount,no,no,404,82.4,28,11.2,322,,,,,,Started,yes,identifying-or-high-cardinality
231,Fees Tax Per Mo,standard,Decimal,DECIMAL_2,float x300 | int x152,$.fees[?(@.feeType == 'PropertyTaxes')].monthlyPayment,loan.fees[(feeType == 'PropertyTaxes')].monthlyPayment,no,no,407,83.1,28,11.2,379,100,214.15,500,833.33,2000,Started,no,identifying-or-high-cardinality
233,Expenses Proposed HOA,standard,String,RA_DECIMAL_2,str x26,$.proposedDuesAmount,loan.proposedDuesAmount,no,no,18,3.7,1,0.4,13,,,,,,Purchasing Conditions,no,
234,Expenses Proposed Other Housing,standard,Decimal,DECIMAL_2,int x754 | float x18,$.proposedOtherAmount,loan.proposedOtherAmount,no,no,18,3.7,0,0,18,5.41,14.945,57.9,149.685,271.92,,no,
235,Fees Flood Ins Per Mo,standard,Decimal,DECIMAL_2,float x10 | int x2,$.fees[?(@.feeType == 'FloodInsurance')].monthlyPayment,loan.fees[(feeType == 'FloodInsurance')].monthlyPayment,no,no,12,2.4,0,0,11,24,60.7925,80.64,114.63,473.67,Purchasing Conditions,no,
253,Fees Line 1008 $ Per Mo,standard,Decimal,DECIMAL_2,float x27 | int x3,$.fees[?(@.feeType == 'UserDefined_1007')].monthlyPayment,loan.fees[(feeType == 'UserDefined_1007')].monthlyPayment,no,no,30,6.1,0,0,27,5.41,61.67,148.8,368.0175,579.41,Purchasing Conditions,no,identifying-or-high-cardinality
254,Fees Line 1009 $ Per Mo,standard,Decimal,DECIMAL_2,float x7,$.fees[?(@.feeType == 'UserDefined_1008')].monthlyPayment,loan.fees[(feeType == 'UserDefined_1008')].monthlyPayment,no,no,7,1.4,0,0,7,5.75,23.7,46.82,53.74,62.06,,no,
265,Borr Declarations M,standard,Boolean,YN,bool x749,$.applications[0].borrower.bankruptcyIndicator,loan.currentApplication.borrower.bankruptcyIndicator,no,no,0,0,0,0,0,,,,,,,yes,
273,Income Total Base Income (Borr/Co-Borr),standard,Decimal,DECIMAL_2,int x6 | float x5,$.applications[0].grossBaseIncomeAmount,loan.currentApplication.grossBaseIncomeAmount,no,yes,6,1.2,0,0,9,7823.04,8333,10081.5,35524.1,100000,,no,
299,Loan Info Refi Purpose,standard,String,STRING,str x246,$.property.gseRefinancePurposeType,loan.property.gseRefinancePurposeType,no,no,238,48.6,1,0.4,10,,,,,,Started,no,
300,Trans Details Credit Rpt Ref #,standard,String,STRING,str x318,$.applications[0].creditReportReferenceIdentifier,loan.currentApplication.creditReportReferenceIdentifier,no,no,253,51.6,61,24.3,198,,,,,,Started,no,identifying-or-high-cardinality
305,File Contacts Lender Case #,standard,String,STRING,str x548,$.lenderCaseIdentifier,loan.lenderCaseIdentifier,no,no,490,100,34,13.5,534,,,,,,Started,no,identifying-or-high-cardinality
307,Trans Details Income of Other will be used,standard,Boolean,YN,bool x5,$.applications[0].incomeOtherThanBorrowerUsedIndicator,loan.currentApplication.incomeOtherThanBorrowerUsedIndicator,no,no,4,0.8,1,0.4,1,,,,,,,no,
313,File Contacts Broker Lender City,standard,String,STRING,str x769,$.contacts[?(@.contactType == 'BROKER_LENDER')].city,loan.contacts[(contactType == 'BROKER_LENDER')].city,no,no,487,99.4,251,100,2,,,,,,Started,yes,identifying-or-high-cardinality
315,File Contacts Broker Lender Name,standard,String,STRING,str x770,$.contacts[?(@.contactType == 'BROKER_LENDER')].name,loan.contacts[(contactType == 'BROKER_LENDER')].name,no,no,488,99.6,251,100,3,,,,,,Started,yes,identifying-or-high-cardinality
317,File Contacts Loan Officer Name,standard,String,STRING,str x746,$.contacts[?(@.contactType == 'LOAN_OFFICER')].name,loan.contacts[(contactType == 'LOAN_OFFICER')].name,no,no,482,98.4,237,94.4,22,,,,,,Started,no,identifying-or-high-cardinality
319,File Contacts Broker Lender Addr,standard,String,STRING,str x769,$.contacts[?(@.contactType == 'BROKER_LENDER')].address,loan.contacts[(contactType == 'BROKER_LENDER')].address,no,no,487,99.4,251,100,4,,,,,,Started,no,
321,File Contacts Broker Lender State,standard,String,STATE,str x769,$.contacts[?(@.contactType == 'BROKER_LENDER')].state,loan.contacts[(contactType == 'BROKER_LENDER')].state,no,no,487,99.4,251,100,2,,,,,,Started,yes,
323,File Contacts Broker Lender Zip,standard,String,ZIPCODE,str x769,$.contacts[?(@.contactType == 'BROKER_LENDER')].postalCode,loan.contacts[(contactType == 'BROKER_LENDER')].postalCode,no,no,487,99.4,251,100,2,,,,,,Started,yes,identifying-or-high-cardinality
324,File Contacts Broker Lender Phone,standard,String,PHONE,str x768,$.contacts[?(@.contactType == 'BROKER_LENDER')].phone,loan.contacts[(contactType == 'BROKER_LENDER')].phone,no,no,486,99.2,251,100,3,,,,,,Started,no,identifying-or-high-cardinality
325,Trans Details Term Due In,standard,Int,INTEGER,int x749,$.loanProductData.balloonLoanMaturityTermMonthsCount,loan.loanProductData.balloonLoanMaturityTermMonthsCount,no,no,490,100,251,100,7,1,12,24,360,480,Started,no,
326,File Contacts Broker Lender Fax,standard,String,PHONE,str x766,$.contacts[?(@.contactType == 'BROKER_LENDER')].fax,loan.contacts[(contactType == 'BROKER_LENDER')].fax,no,no,486,99.2,251,100,1,,,,,,Started,no,identifying-or-high-cardinality
330,Fees Total Payable Items Origination Fee,standard,Decimal,DECIMAL_2,int x451 | float x124,$.loanSubmission.loanSubmissionFees[?(@.loanSubmissionFeeType == 'LoanOriginationFee')].total,loan.loanSubmission.loanSubmissionFees[(loanSubmissionFeeType == 'LoanOriginationFee')].total,no,yes,367,74.9,203,80.9,443,1725,3600,6000,8000,15400,Started,no,identifying-or-high-cardinality
332,Fees Interest # of Days,standard,Int,INTEGER,int x318,$.fees[?(@.feeType == 'PrepaidInterest')].days,loan.fees[(feeType == 'PrepaidInterest')].days,no,no,284,58,18,7.2,34,1,6,12,20,29,Started,no,identifying-or-high-cardinality
333,Fees Interest Per Day,standard,Decimal,DECIMAL_4,float x633 | int x6,$.fees[?(@.feeType == 'PrepaidInterest')].amountPerDay,loan.fees[(feeType == 'PrepaidInterest')].amountPerDay,no,no,424,86.5,198,78.9,592,15.9503,33.2299,47.5333,77.1315,161.6438,Started,no,identifying-or-high-cardinality
334,Fees Interest Borr,standard,Decimal,DECIMAL_2,float x301 | int x4,$.fees[?(@.feeType == 'PrepaidInterest')].borPaidAmount,loan.fees[(feeType == 'PrepaidInterest')].borPaidAmount,no,no,281,57.3,17,6.8,296,118.66,232.78,462.56,760.8125,11361.04,Started,no,identifying-or-high-cardinality
335,Unrounded and Truncated Fees Interest Per Day,standard,Decimal,DECIMAL_2,float x631 | int x7,$.fees[?(@.feeType == 'PrepaidInterest')].truncatedAmountPerDay,loan.fees[(feeType == 'PrepaidInterest')].truncatedAmountPerDay,no,yes,423,86.3,199,79.3,586,15.95,33.9,50.62,85.1,161.64,Started,no,identifying-or-high-cardinality
340,Fees Line 1008 # Mos,standard,Int,INTEGER,int x26,$.fees[?(@.feeType == 'UserDefined_1007')].numberOfMonths,loan.fees[(feeType == 'UserDefined_1007')].numberOfMonths,no,no,23,4.7,0,0,10,2,4,9,11,12,Purchasing Conditions,no,
341,Fees Line 1009 # Mos,standard,Int,INTEGER,int x8,$.fees[?(@.feeType == 'UserDefined_1008')].numberOfMonths,loan.fees[(feeType == 'UserDefined_1008')].numberOfMonths,no,no,8,1.6,0,0,4,4,5,5.5,9,10,,no,
350,Liabilities Total Liability Pymt,standard,Decimal,DECIMAL_2,int x328 | float x70,$.applications[0].totalMonthlyPaymentAmount,loan.currentApplication.totalMonthlyPaymentAmount,no,yes,343,70,39,15.5,241,40,495.75,4494,10606,50002.16,Started,no,identifying-or-high-cardinality
352,Trans Details Investor Case/Loan #,standard,String,STRING,str x44,$.tsum.investorLoanNumber,loan.tsum.investorLoanNumber,no,no,37,7.6,6,2.4,44,,,,,,Investor Delivery,no,identifying-or-high-cardinality
353,Freddie Mac Loan To Value (LTV),standard,Decimal,DECIMAL_3,int x417 | float x260,$.ltv,loan.ltv,no,no,442,90.2,212,84.5,281,50,70,75,80,170.297,Started,no,identifying-or-high-cardinality
356,Subject Property Appraised Value,standard,Int,INTEGER,int x571,$.propertyAppraisedValueAmount,loan.propertyAppraisedValueAmount,no,no,365,74.5,199,79.3,240,160000,285000,500000,600000,1100000,Started,yes,identifying-or-high-cardinality
358,Subject Property Value for LTV,standard,Decimal,DECIMAL_2,int x679 | float x1,$.ltvPropertyValue,loan.ltvPropertyValue,no,yes,444,90.6,213,84.9,292,100000,260000,360000,500000,1250000,Started,no,identifying-or-high-cardinality
